trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-86.214699134389,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-182.13896682078177,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-136.16272973645056,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-80.84710946825646,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,12,-49.19977866422237,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-159.976724523691,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,1,-132.59393176670105,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-118.7222328615589,"{0: 22, 1: 3, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-59.75501591782012,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,10,-33.44988140792996,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-55.44548951343408,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,7,-137.958154624607,"{0: 10, 1: 1, 2: 1, 3: 5, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-10.78323270942011,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-36.735641667468634,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,13,14.873125189327467,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-2.9957392050884035,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,6,31.053847970734303,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,7,12.297192781835582,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,16,5.818510468149049,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -0.05000000000000032}",20,3,31.586417842809983,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,14,17.91620547881113,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,7,32.66233864399027,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,11,18.32058840603403,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,8,24.88136597369477,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,20,11.630234116940368,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,12,26.242506711769927,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,12,35.9633031286579,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,1,29.8825042404172,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,7,21.743926981507364,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,13,25.06088761672674,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
