trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-111.36330209974038,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9025}",20,6,-79.10548340396913,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",25,0,-14.558028803748893,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",20,0,-56.56877780537669,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7737809374999998}",25,0,-139.5713857704859,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",20,0,-110.52552836775095,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",20,0,-37.46890377659596,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",30,0,-95.05478419560694,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",25,5,-65.28614338921207,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.5987369392383787}",30,13,-38.26385426710897,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.5688000922764597}",25,3,-79.74203879777897,"{0: 14, 1: 0, 2: 5, 3: 3, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.5403600876626367}",20,10,5.9656318387874006,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.5133420832795048}",20,0,-82.21951911105428,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.48767497911552954}",20,0,-26.33750091910461,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.46329123015975304}",25,2,-102.1650052155259,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.44012666865176536}",25,0,-47.26005991525214,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.4181203352191771}",25,7,-81.51288708264646,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.3972143184582182}",20,10,6.115123538836745,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.37735360253530725}",20,0,-28.815773923684382,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.3584859224085419}",30,0,-5.579949514694339,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.3405616262881148}",35,20,4.310351399471992,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.323533544973709}",20,7,-8.200300020804944,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.3073568677250236}",20,13,2.561107082056404,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.2919890243387724}",20,0,-13.097273600789906,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.27738957312183377}",30,14,-0.9534881197645131,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.26352009446574204}",20,15,9.081228338618207,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.2503440897424549}",30,23,-8.75493375979827,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.23782688525533216}",20,1,-3.479484550136718,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.22593554099256555}",25,0,-21.28878716829135,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.21463876394293727}",30,13,11.881862404712052,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.2039068257457904}",20,1,10.810230922147772,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.19371148445850087}",20,5,27.05213090502251,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.18402591023557582}",20,8,7.886404380777976,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.174824614723797}",20,10,16.512230563544204,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.16608338398760716}",30,8,-23.620022220465287,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.1577792147882268}",20,0,31.33555051916785,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.14989025404881545}",20,0,-45.836525591166286,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.14239574134637467}",20,9,9.668398031917485,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.13527595427905592}",20,10,7.5649709023044345,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.12851215656510312}",25,7,35.55216350862398,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.12208654873684796}",20,0,-21.172087602937207,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.11598222130000556}",35,11,38.83738273541832,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.11018311023500528}",20,10,14.084021024424825,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.10467395472325501}",25,16,-35.433359547749035,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.09944025698709225}",20,9,19.90194503825034,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.09446824413773763}",20,13,12.461242287050958,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.08974483193085075}",20,8,15.901677073082125,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
